date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,start_order
2024-08-09T16:17:39+02:00,BKGWINDIVID-----------GPB-000100--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group B,Round Robin - Group B,FINISHED,W,Breaking,BKG,La Concorde 1,1924559,NICKA,Person,LTU,Lithuania,1,POINTS,,,RED
2024-08-09T16:17:39+02:00,BKGWINDIVID-----------GPB-000100--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group B,Round Robin - Group B,FINISHED,W,Breaking,BKG,La Concorde 1,1880195,SYSSY,Person,FRA,France,1,POINTS,,,BLUE
2024-08-09T16:24:14+02:00,BKGWINDIVID-----------GPB-000200--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group B,Round Robin - Group B,FINISHED,W,Breaking,BKG,La Concorde 1,1955587,LOGISTX,Person,USA,United States,2,POINTS,,,RED
2024-08-09T16:24:14+02:00,BKGWINDIVID-----------GPB-000200--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group B,Round Robin - Group B,FINISHED,W,Breaking,BKG,La Concorde 1,1940107,RAYGUN,Person,AUS,Australia,0,POINTS,,,BLUE
2024-08-09T16:31:01+02:00,BKGWINDIVID-----------GPC-000100--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group C,Round Robin - Group C,FINISHED,W,Breaking,BKG,La Concorde 1,1953038,AMI,Person,JPN,Japan,2,POINTS,,,RED
2024-08-09T16:31:01+02:00,BKGWINDIVID-----------GPC-000100--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group C,Round Robin - Group C,FINISHED,W,Breaking,BKG,La Concorde 1,1925301,ANTI,Person,ITA,Italy,0,POINTS,,,BLUE
2024-08-09T16:37:15+02:00,BKGWINDIVID-----------GPC-000200--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group C,Round Robin - Group C,FINISHED,W,Breaking,BKG,La Concorde 1,1542909,ELMAMOUNY,Person,MAR,Morocco,0,POINTS,,,RED
2024-08-09T16:37:15+02:00,BKGWINDIVID-----------GPC-000200--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group C,Round Robin - Group C,FINISHED,W,Breaking,BKG,La Concorde 1,1909908,YING ZI,Person,CHN,China,2,POINTS,,,BLUE
2024-08-09T16:43:21+02:00,BKGWINDIVID-----------GPD-000100--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group D,Round Robin - Group D,FINISHED,W,Breaking,BKG,La Concorde 1,1953039,AYUMI,Person,JPN,Japan,1,POINTS,,,RED
2024-08-09T16:43:21+02:00,BKGWINDIVID-----------GPD-000100--,BKGWINDIVID,B-Girls,B-Girls Round Robin - Group D,Round Robin - Group D,FINISHED,W,Breaking,BKG,La Concorde 1,1897538,STEFANI,Person,UKR,Ukraine,1,POINTS,,,BLUE
