date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order,bib
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1895717,THOMAS Benjamin,Person,FRA,France,1.0,,,,,,14,27
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1879180,LARSEN Niklas,Person,DEN,Denmark,2.0,,,,,,17,19
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1915370,van den BOSSCHE Fabio,Person,BEL,Belgium,3.0,,,,,,6,7
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1969213,van SCHIP Jan Willem,Person,NED,Netherlands,4.0,,,,,,20,54
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1945751,KUBOKI Kazushige,Person,JPN,Japan,5.0,,,,,,7,47
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1957081,HAYTER Ethan,Person,GBR,Great Britain,6.0,,,,,,5,30
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1933816,LEITAO Iuri,Person,POR,Portugal,7.0,,,,,,12,62
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1928283,TORRES BARCELO Albert,Person,ESP,Spain,8.0,,,,,,21,25
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1945051,GATE Aaron,Person,NZL,New Zealand,9.0,,,,,,13,57
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1889748,TEUTENBERG Tim Torn,Person,GER,Germany,10.0,,,,,,2,35
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1977897,VOGEL Alex,Person,SUI,Switzerland,11.0,,,,,,18,65
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1923519,VIVIANI Elia,Person,ITA,Italy,12.0,,,,,,1,43
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1566123,WAFLER Tim,Person,AUT,Austria,13.0,,,,,,3,5
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1940265,WELSFORD Sam,Person,AUS,Australia,14.0,,,,,,11,2
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1955088,KOONTZ Grant,Person,USA,United States,15.0,,,,,,8,67
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1966655,BIBIC Dylan,Person,CAN,Canada,16.0,,,,,,15,10
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1941610,VONES Jan,Person,CZE,Czechia,17.0,,,,,,19,17
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1945842,van AERT Bernard,Person,INA,Indonesia,18.0,,,,,,4,39
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1573043,BANASZEK Alan,Person,POL,Poland,19.0,,,,,,16,59
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1908522,GAVIRIA RENDON Fernando,Person,COL,Colombia,20.0,,,,,,22,15
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1551906,PENA SALAS Ricardo,Person,MEX,Mexico,21.0,,,,,,9,51
2024-08-08T17:22:48+02:00,CTRMOMNIUM------------SCR-000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Scratch Race 1/4",Scratch Race 1/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1897287,ABOUELHASSAN Youssef,Person,EGY,Egypt,22.0,,,,,,10,22
2024-08-08T18:17:18+02:00,CTRMOMNIUM------------TEMP000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Tempo Race 2/4",Tempo Race 2/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1915370,van den BOSSCHE Fabio,Person,BEL,Belgium,1.0,31,POINTS,,,,2,7
2024-08-08T18:17:18+02:00,CTRMOMNIUM------------TEMP000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Tempo Race 2/4",Tempo Race 2/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1933816,LEITAO Iuri,Person,POR,Portugal,2.0,28,POINTS,,,,4,62
2024-08-08T18:17:18+02:00,CTRMOMNIUM------------TEMP000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Tempo Race 2/4",Tempo Race 2/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1889748,TEUTENBERG Tim Torn,Person,GER,Germany,3.0,25,POINTS,,,,16,35
2024-08-08T18:17:18+02:00,CTRMOMNIUM------------TEMP000100--,CTRMOMNIUM,Men's Omnium,"Men's Omnium, Tempo Race 2/4",Tempo Race 2/4,FINISHED,M,Cycling Track,CTR,National Velodrome,1977897,VOGEL Alex,Person,SUI,Switzerland,4.0,23,POINTS,,,,6,65
