date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,start_order,bib
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1897671,TOVKAI Oleksandr,Person,UKR,Ukraine,1.0,245,POINTS,,27,27
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1932649,ELGENDY Ahmed,Person,EGY,Egypt,2.0,245,POINTS,,4,4
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1963091,SVECOVS Pavels,Person,LAT,Latvia,3.0,240,POINTS,,30,30
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1786884,JUN Woongtae,Person,KOR,Korea,4.0,235,POINTS,,2,2
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1976486,DALLENBACH Alexandre,Person,SUI,Switzerland,5.0,230,POINTS,,26,26
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1887939,SATO Taishu,Person,JPN,Japan,6.0,230,POINTS,,13,13
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1566630,UNAL Bugra,Person,TUR,Türkiye,7.0,225,POINTS,,23,23
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1953666,GUTKOWSKI Lukasz,Person,POL,Poland,8.0,225,POINTS,,15,15
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1953667,KASPERCZAK Kamil,Person,POL,Poland,9.0,225,POINTS,,8,8
2024-08-08T14:45:35+02:00,MPNMINDIVID-----------RANK0001FE--,MPNMINDIVID,Men's Individual,"Men's Individual, Fencing Ranking Round",Fencing Ranking Round,FINISHED,M,Modern Pentathlon,MPN,North Paris Arena,1786899,SEO Changwan,Person,KOR,Korea,10.0,225,POINTS,,7,7
